StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
"2022-01-11T23:00:00","2022-01-11T23:30:00",-52.177,151.88,-7924.64276
"2022-01-11T23:30:00","2022-01-12T00:00:00",-38.055,136.62,-5199.0741
"2022-01-12T00:00:00","2022-01-12T00:30:00",-37.36,133.24,-4977.8464
"2022-01-12T00:30:00","2022-01-12T01:00:00",-30.901,123.96,-3830.48796
"2022-01-12T01:00:00","2022-01-12T01:30:00",-28.791,126.5,-3642.0615
"2022-01-12T01:30:00","2022-01-12T02:00:00",-25.532,111.23,-2839.92436
"2022-01-12T02:00:00","2022-01-12T02:30:00",-33.476,109.25,-3657.253
"2022-01-12T02:30:00","2022-01-12T03:00:00",-36.553,107.4,-3925.7922
"2022-01-12T03:00:00","2022-01-12T03:30:00",-30.639,122.34,-3748.37526
"2022-01-12T03:30:00","2022-01-12T04:00:00",-34.006,122.41,-4162.67446
"2022-01-12T04:00:00","2022-01-12T04:30:00",-31.438,122.77,-3859.64326
"2022-01-12T04:30:00","2022-01-12T05:00:00",-30.176,121.49,-3666.08224
"2022-01-12T05:00:00","2022-01-12T05:30:00",-25.968,124.43,-3231.19824
"2022-01-12T05:30:00","2022-01-12T06:00:00",-27.786,129.79,-3606.34494
"2022-01-12T06:00:00","2022-01-12T06:30:00",-35.697,128.79,-4597.41663
"2022-01-12T06:30:00","2022-01-12T07:00:00",-15.152,144.47,-2189.00944
"2022-01-12T07:00:00","2022-01-12T07:30:00",-9.439,162.71,-1535.81969
"2022-01-12T07:30:00","2022-01-12T08:00:00",-12.662,169.63,-2147.85506
"2022-01-12T08:00:00","2022-01-12T08:30:00",-0.465,192.56,-89.5404
"2022-01-12T08:30:00","2022-01-12T09:00:00",4.995,189.32,945.6534
"2022-01-12T09:00:00","2022-01-12T09:30:00",9.434,190.61,1798.21474
"2022-01-12T09:30:00","2022-01-12T10:00:00",8.155,201.67,1644.61885
"2022-01-12T10:00:00","2022-01-12T10:30:00",-1.394,199.76,-278.46544
"2022-01-12T10:30:00","2022-01-12T11:00:00",-4.794,194.46,-932.24124
"2022-01-12T11:00:00","2022-01-12T11:30:00",5.623,261.81,1472.15763
"2022-01-12T11:30:00","2022-01-12T12:00:00",13.189,276.29,3643.98881
"2022-01-12T12:00:00","2022-01-12T12:30:00",14.344,280.81,4027.93864
"2022-01-12T12:30:00","2022-01-12T13:00:00",4.901,223.84,1097.03984
"2022-01-12T13:00:00","2022-01-12T13:30:00",-3.156,195.11,-615.76716
"2022-01-12T13:30:00","2022-01-12T14:00:00",-16.973,204.51,-3471.14823
"2022-01-12T14:00:00","2022-01-12T14:30:00",-32.903,169.04,-5561.92312
"2022-01-12T14:30:00","2022-01-12T15:00:00",-15.449,185.9,-2871.9691
"2022-01-12T15:00:00","2022-01-12T15:30:00",-18.084,225.98,-4086.62232
"2022-01-12T15:30:00","2022-01-12T16:00:00",-19.65,207.1,-4069.515
"2022-01-12T16:00:00","2022-01-12T16:30:00",-34.858,219.04,-7635.29632
"2022-01-12T16:30:00","2022-01-12T17:00:00",-36.914,180.27,-6654.48678
"2022-01-12T17:00:00","2022-01-12T17:30:00",-25.492,167.25,-4263.537
"2022-01-12T17:30:00","2022-01-12T18:00:00",-27.824,164.55,-4578.4392
"2022-01-12T18:00:00","2022-01-12T18:30:00",-25.913,169.48,-4391.73524
"2022-01-12T18:30:00","2022-01-12T19:00:00",-24.461,173.06,-4233.22066
"2022-01-12T19:00:00","2022-01-12T19:30:00",-25.033,211.7,-5299.4861
"2022-01-12T19:30:00","2022-01-12T20:00:00",-49.367,153.22,-7564.01174
"2022-01-12T20:00:00","2022-01-12T20:30:00",-50.366,253.07,-12746.12362
"2022-01-12T20:30:00","2022-01-12T21:00:00",-29.184,281.56,-8217.04704
"2022-01-12T21:00:00","2022-01-12T21:30:00",-28.538,60.04,-1713.42152
"2022-01-12T21:30:00","2022-01-12T22:00:00",-28.282,67.47,-1908.18654
"2022-01-12T22:00:00","2022-01-12T22:30:00",-28.172,-197.15,5554.1098
"2022-01-12T22:30:00","2022-01-12T23:00:00",-48.705,-456.34,22226.0397
"2022-01-12T23:00:00","2022-01-12T23:30:00",-47.729,-35.93,1714.90297
"2022-01-12T23:30:00","2022-01-13T00:00:00",-11.619,152.44,-1771.20036
"2022-01-13T00:00:00","2022-01-13T00:30:00",-5.01,152.09,-761.9709
"2022-01-13T00:30:00","2022-01-13T01:00:00",-0.327,167.36,-54.72672
"2022-01-13T01:00:00","2022-01-13T01:30:00",21.4,149.39,3196.946
"2022-01-13T01:30:00","2022-01-13T02:00:00",13.381,114,1525.434
"2022-01-13T02:00:00","2022-01-13T02:30:00",20.109,189.33,3807.23697
"2022-01-13T02:30:00","2022-01-13T03:00:00",32.614,240.26,7835.83964
"2022-01-13T03:00:00","2022-01-13T03:30:00",29.109,197.1,5737.3839
"2022-01-13T03:30:00","2022-01-13T04:00:00",29.832,138.27,4124.87064
"2022-01-13T04:00:00","2022-01-13T04:30:00",18.255,128.05,2337.55275
"2022-01-13T04:30:00","2022-01-13T05:00:00",14.335,113.07,1620.85845
"2022-01-13T05:00:00","2022-01-13T05:30:00",-0.656,162.66,-106.70496
"2022-01-13T05:30:00","2022-01-13T06:00:00",9.179,132.88,1219.70552
"2022-01-13T06:00:00","2022-01-13T06:30:00",0.109,133.16,14.51444
"2022-01-13T06:30:00","2022-01-13T07:00:00",7.815,109.46,855.4299
"2022-01-13T07:00:00","2022-01-13T07:30:00",-3.948,171.94,-678.81912
"2022-01-13T07:30:00","2022-01-13T08:00:00",-13.661,195.46,-2670.17906
"2022-01-13T08:00:00","2022-01-13T08:30:00",8.666,128.63,1114.70758
"2022-01-13T08:30:00","2022-01-13T09:00:00",8.526,150,1278.9
"2022-01-13T09:00:00","2022-01-13T09:30:00",2.448,167.02,408.86496
"2022-01-13T09:30:00","2022-01-13T10:00:00",7.228,200.32,1447.91296
"2022-01-13T10:00:00","2022-01-13T10:30:00",15.942,198.01,3156.67542
"2022-01-13T10:30:00","2022-01-13T11:00:00",22.481,192.48,4327.14288
"2022-01-13T11:00:00","2022-01-13T11:30:00",16.949,215.19,3647.25531
"2022-01-13T11:30:00","2022-01-13T12:00:00",17.596,195.89,3446.88044
"2022-01-13T12:00:00","2022-01-13T12:30:00",19.069,188.37,3592.02753
"2022-01-13T12:30:00","2022-01-13T13:00:00",11.241,191.84,2156.47344
"2022-01-13T13:00:00","2022-01-13T13:30:00",17.928,189.35,3394.6668
"2022-01-13T13:30:00","2022-01-13T14:00:00",16.47,178.33,2937.0951
"2022-01-13T14:00:00","2022-01-13T14:30:00",17.126,188.88,3234.75888
"2022-01-13T14:30:00","2022-01-13T15:00:00",11.587,164.98,1911.62326
"2022-01-13T15:00:00","2022-01-13T15:30:00",9.327,175.07,1632.87789
"2022-01-13T15:30:00","2022-01-13T16:00:00",22.008,180.12,3964.08096
"2022-01-13T16:00:00","2022-01-13T16:30:00",22.681,199,4513.519
"2022-01-13T16:30:00","2022-01-13T17:00:00",23.523,169.28,3981.97344
"2022-01-13T17:00:00","2022-01-13T17:30:00",34.944,201.82,7052.39808
"2022-01-13T17:30:00","2022-01-13T18:00:00",35.641,221.58,7897.33278
"2022-01-13T18:00:00","2022-01-13T18:30:00",28.174,218.73,6162.49902
"2022-01-13T18:30:00","2022-01-13T19:00:00",14.427,133.87,1931.34249
"2022-01-13T19:00:00","2022-01-13T19:30:00",9.769,156.08,1524.74552
"2022-01-13T19:30:00","2022-01-13T20:00:00",14.695,143.65,2110.93675
"2022-01-13T20:00:00","2022-01-13T20:30:00",16.224,162.98,2644.18752
"2022-01-13T20:30:00","2022-01-13T21:00:00",11.151,134.26,1497.13326
"2022-01-13T21:00:00","2022-01-13T21:30:00",1.647,207,340.929
"2022-01-13T21:30:00","2022-01-13T22:00:00",-1.632,201.55,-328.9296
"2022-01-13T22:00:00","2022-01-13T22:30:00",1.374,261.26,358.97124
"2022-01-13T22:30:00","2022-01-13T23:00:00",-2.942,221.28,-651.00576
"2022-01-13T23:00:00","2022-01-13T23:30:00",34.171,254.71,8703.69541
"2022-01-13T23:30:00","2022-01-14T00:00:00",58.945,268.53,15828.50085
"2022-01-14T00:00:00","2022-01-14T00:30:00",34.788,199.77,6949.59876
"2022-01-14T00:30:00","2022-01-14T01:00:00",29.537,186.83,5518.39771
"2022-01-14T01:00:00","2022-01-14T01:30:00",38.894,176.29,6856.62326
"2022-01-14T01:30:00","2022-01-14T02:00:00",27.55,183.71,5061.2105
"2022-01-14T02:00:00","2022-01-14T02:30:00",26.727,179.01,4784.40027
"2022-01-14T02:30:00","2022-01-14T03:00:00",25.01,170.76,4270.7076
"2022-01-14T03:00:00","2022-01-14T03:30:00",34.563,184.8,6387.2424
"2022-01-14T03:30:00","2022-01-14T04:00:00",32.415,173.26,5616.2229
"2022-01-14T04:00:00","2022-01-14T04:30:00",26.73,182.05,4866.1965
"2022-01-14T04:30:00","2022-01-14T05:00:00",27.349,177.57,4856.36193
"2022-01-14T05:00:00","2022-01-14T05:30:00",26.379,171.53,4524.78987
"2022-01-14T05:30:00","2022-01-14T06:00:00",26.175,163.98,4292.1765
"2022-01-14T06:00:00","2022-01-14T06:30:00",5.809,162.83,945.87947
"2022-01-14T06:30:00","2022-01-14T07:00:00",11.083,217.6,2411.6608
"2022-01-14T07:00:00","2022-01-14T07:30:00",12.356,252.59,3121.00204
"2022-01-14T07:30:00","2022-01-14T08:00:00",1.237,209.12,258.68144
"2022-01-14T08:00:00","2022-01-14T08:30:00",20.563,200.34,4119.59142
"2022-01-14T08:30:00","2022-01-14T09:00:00",27.908,252.03,7033.65324
"2022-01-14T09:00:00","2022-01-14T09:30:00",18.34,245.16,4496.2344
"2022-01-14T09:30:00","2022-01-14T10:00:00",17.493,231.01,4041.05793
"2022-01-14T10:00:00","2022-01-14T10:30:00",15.97,343.85,5491.2845
"2022-01-14T10:30:00","2022-01-14T11:00:00",14.593,428.18,6248.43074
"2022-01-14T11:00:00","2022-01-14T11:30:00",7.906,269.64,2131.77384
"2022-01-14T11:30:00","2022-01-14T12:00:00",8.696,254.76,2215.39296
"2022-01-14T12:00:00","2022-01-14T12:30:00",8.778,255.37,2241.63786
"2022-01-14T12:30:00","2022-01-14T13:00:00",6.702,234.6,1572.2892
"2022-01-14T13:00:00","2022-01-14T13:30:00",4.11,217.61,894.3771
"2022-01-14T13:30:00","2022-01-14T14:00:00",-1.825,233.61,-426.33825
"2022-01-14T14:00:00","2022-01-14T14:30:00",-10.646,219.61,-2337.96806
"2022-01-14T14:30:00","2022-01-14T15:00:00",-11.344,213.33,-2420.01552
"2022-01-14T15:00:00","2022-01-14T15:30:00",-9.35,218.23,-2040.4505
"2022-01-14T15:30:00","2022-01-14T16:00:00",-12.956,204.18,-2645.35608
"2022-01-14T16:00:00","2022-01-14T16:30:00",-18.256,174.53,-3186.21968
"2022-01-14T16:30:00","2022-01-14T17:00:00",-16.927,164.87,-2790.75449
"2022-01-14T17:00:00","2022-01-14T17:30:00",-4.991,170.58,-851.36478
"2022-01-14T17:30:00","2022-01-14T18:00:00",6.74,222.48,1499.5152
"2022-01-14T18:00:00","2022-01-14T18:30:00",-0.64,209.91,-134.3424
"2022-01-14T18:30:00","2022-01-14T19:00:00",-7.082,203.36,-1440.19552
"2022-01-14T19:00:00","2022-01-14T19:30:00",-16.866,169.67,-2861.65422
"2022-01-14T19:30:00","2022-01-14T20:00:00",-22.379,141.11,-3157.90069
"2022-01-14T20:00:00","2022-01-14T20:30:00",-26.56,138.39,-3675.6384
"2022-01-14T20:30:00","2022-01-14T21:00:00",-17.412,188.92,-3289.47504
"2022-01-14T21:00:00","2022-01-14T21:30:00",1.925,275.87,531.04975
"2022-01-14T21:30:00","2022-01-14T22:00:00",4.899,214.79,1052.25621
"2022-01-14T22:00:00","2022-01-14T22:30:00",-5.685,180.55,-1026.42675
"2022-01-14T22:30:00","2022-01-14T23:00:00",13.485,164.6,2219.631
"2022-01-14T23:00:00","2022-01-14T23:30:00",19.375,197.11,3819.00625
"2022-01-14T23:30:00","2022-01-15T00:00:00",25.48,215.15,5482.022
"2022-01-15T00:00:00","2022-01-15T00:30:00",27.137,246.1,6678.4157
"2022-01-15T00:30:00","2022-01-15T01:00:00",21.028,204.74,4305.27272
"2022-01-15T01:00:00","2022-01-15T01:30:00",39.558,284.14,11240.01012
"2022-01-15T01:30:00","2022-01-15T02:00:00",34.14,287.18,9804.3252
"2022-01-15T02:00:00","2022-01-15T02:30:00",35.552,287.92,10236.13184
"2022-01-15T02:30:00","2022-01-15T03:00:00",42.737,293.21,12530.91577
"2022-01-15T03:00:00","2022-01-15T03:30:00",40.312,294.03,11852.93736
"2022-01-15T03:30:00","2022-01-15T04:00:00",38.396,291.73,11201.26508
"2022-01-15T04:00:00","2022-01-15T04:30:00",37.402,291.04,10885.47808
"2022-01-15T04:30:00","2022-01-15T05:00:00",36.929,291.29,10757.04841
"2022-01-15T05:00:00","2022-01-15T05:30:00",35.422,284.44,10075.43368
"2022-01-15T05:30:00","2022-01-15T06:00:00",33.122,267.93,8874.37746
"2022-01-15T06:00:00","2022-01-15T06:30:00",13.116,232.63,3051.17508
"2022-01-15T06:30:00","2022-01-15T07:00:00",7.397,147.07,1087.87679
"2022-01-15T07:00:00","2022-01-15T07:30:00",2.105,199.49,419.92645
"2022-01-15T07:30:00","2022-01-15T08:00:00",22.944,189.8,4354.7712
"2022-01-15T08:00:00","2022-01-15T08:30:00",17.088,290.57,4965.26016
"2022-01-15T08:30:00","2022-01-15T09:00:00",5.31,280.33,1488.5523
"2022-01-15T09:00:00","2022-01-15T09:30:00",5.639,237.85,1341.23615
"2022-01-15T09:30:00","2022-01-15T10:00:00",19.227,270.46,5200.13442
"2022-01-15T10:00:00","2022-01-15T10:30:00",29.083,316.34,9200.11622
"2022-01-15T10:30:00","2022-01-15T11:00:00",28.221,273.76,7725.78096
"2022-01-15T11:00:00","2022-01-15T11:30:00",44.909,324.66,14580.15594
"2022-01-15T11:30:00","2022-01-15T12:00:00",41.599,310.76,12927.30524
"2022-01-15T12:00:00","2022-01-15T12:30:00",44.537,303.71,13526.33227
"2022-01-15T12:30:00","2022-01-15T13:00:00",38.768,298.66,11578.45088
"2022-01-15T13:00:00","2022-01-15T13:30:00",39.929,298.6,11922.7994
"2022-01-15T13:30:00","2022-01-15T14:00:00",28.8,294.84,8491.392
"2022-01-15T14:00:00","2022-01-15T14:30:00",21.677,313.2,6789.2364
"2022-01-15T14:30:00","2022-01-15T15:00:00",14.938,320.11,4781.80318
"2022-01-15T15:00:00","2022-01-15T15:30:00",7.39,312.25,2307.5275
"2022-01-15T15:30:00","2022-01-15T16:00:00",6.671,285.45,1904.23695
"2022-01-15T16:00:00","2022-01-15T16:30:00",1.783,261.76,466.71808
"2022-01-15T16:30:00","2022-01-15T17:00:00",12.31,335.23,4126.6813
"2022-01-15T17:00:00","2022-01-15T17:30:00",18.323,298.38,5467.21674
"2022-01-15T17:30:00","2022-01-15T18:00:00",20.494,319.37,6545.16878
"2022-01-15T18:00:00","2022-01-15T18:30:00",23.623,261.52,6177.88696
"2022-01-15T18:30:00","2022-01-15T19:00:00",23.219,322.9,7497.4151
"2022-01-15T19:00:00","2022-01-15T19:30:00",30.428,318.22,9682.79816
